query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","```
SELECT STATE 
FROM PLANT 
WHERE TITLE = 'سیرجان';
```"
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'","```
SELECT p.BRANCH_TITLE 
FROM PLANT p 
WHERE p.CODE = 'قزوین';
```"
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
","```
SELECT CODE FROM PLANT WHERE TITLE = 'سیرجان';
```"
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
","```
SELECT *
FROM PLANT
WHERE STATE = 'غیر فعال';
```"
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’",SELECT STORAGE_TYPE_TITLE FROM STORE WHERE CODE = '001';
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","```
SELECT STORAGE_TYPE_TITLE 
FROM STORE 
WHERE TITLE = 'سیرجان';
```"
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","```
SELECT s.STATE 
FROM STORE s 
WHERE s.TITLE = 'سیرجان';
```"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","```
SELECT s.STATE, p.TITLE
FROM STORE s
JOIN PLANT p ON s.PLANT_REF = p.ID
WHERE s.STORAGE_TYPE_TITLE LIKE '%مواد اولیه%' AND s.STATE = 'فعال';
```"
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","```
SELECT TOP 1 s.CODE, p.TITLE
FROM STORE s
JOIN PART p ON s.ID = (SELECT STORE_REF FROM INV_VOCHER_ITEM WHERE PART_REF = p.ID ORDER BY ID DESC LIMIT 1)
WHERE p.PART_TYPE = 'محصول نهایی'
ORDER BY s.CODE DESC;
```"
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
",SELECT TITLE FROM STORE WHERE CODE = 'RAW_01';
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
","```
SELECT s.CODE, p.BRANCH_TITLE
FROM STORE s
JOIN PLANT p ON s.PLANT_REF = p.ID
WHERE s.CODE = '002' AND s.STATE = 'فعال';
```"
انبارهای مرکز نگهداری سیرجان ,INV,"SELECT Title
FROM Store
JOIN Plant ON Store.Plant_id = plant.Id
WHERE plant.title LIKE '%سیرجان%'
","```
SELECT s.*
FROM STORE s
JOIN PLANT p ON s.PLANT_REF = p.ID
WHERE p.BRANCH_TITLE LIKE '%سیرجان%';
```"
بعد واحد سنجش Kg چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘kg’
",SELECT * FROM UNIT WHERE DIMENSION = 'وزن' AND TITLE = 'Kg';
چه واحدهایی برای بعد وزن تو سیستم تعریف شدن؟,INV,"SELECT title
FROM Unit
WHERE Dimension = ‘وزن’
","```
SELECT * FROM UNIT WHERE DIMENSION = 'وزن';
```"
انواع بعدهای واحد اندازه گیری چی ها هست؟,INV,"SELECT DISTINCT Dimension
FROM unit
",SELECT DISTINCT DIMENSION FROM UNIT;
بعد واحد کیلوگرم چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘کیلوگرم’
",SELECT * FROM UNIT WHERE DIMENSION = 'وزن';
کد کالای پنی سیلین 1200 چیه؟,INV,"SELECT Code
FROM part
WHERE title LIKE ‘%پنی سیلین 1200%’
",SELECT CODE FROM PART WHERE TITLE = 'پنی سیلین 1200';
عنوان کالای 8143000120 چی هست؟,INV,"SELECT Title
FROM part
WHERE code = ‘8143000120’
",SELECT TITLE FROM PART WHERE CODE = '8143000120';
واحد سنجش اصلی کالای پنی سیلین 1200,INV,"SELECT major_unit_title
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
","```
SELECT u.ID, u.TITLE, u.DIMENSION
FROM UNIT u
JOIN PART p ON u.ID = p.MAJOR_UNIT_TITLE
WHERE p.TITLE = 'پنی سیلین 1200';
```"
واحد سنجش دوم پنی سیلین 1200,INV,"SELECT secondary_unit_title
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
",SELECT * FROM UNIT WHERE TITLE = 'پنی سیلین' AND DIMENSION = 'وزن';
طبقه حساب آهن اسفنجی تو سیستم چیه؟,INV,"SELECT part_account_category_title
FROM part
WHERE title LIKE '%آهن اسفنجی%'
",SELECT * FROM PART WHERE TITLE LIKE '%آهن اسفنجی%';
کالای 8143000120 با چه طبقه حسابی تو سیتسم تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE Code = ‘8143000120’
","```
SELECT PART_ACCOUNT_CATEGORY_TITLE 
FROM PART 
WHERE CODE = '8143000120';
```"
نوع کالای 8143000120 چیه؟,INV,"SELECT part_type
FROM part
WHERE Code = ‘8143000120’
","```
SELECT PART_TYPE FROM PART WHERE CODE = '8143000120';
```"
پنی سیلین 1200 نوعش چیه؟,INV,"SELECT part_type
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
","```
SELECT PART_TYPE 
FROM PART 
WHERE TITLE = 'پنی سیلین 1200';
```"
نوع کارکرد آهن اسفنجی چیه؟,INV,"SELECT part_usage
FROM part
WHERE title LIKE '%آهن اسفنجی%'
",SELECT PART_TYPE FROM PART WHERE TITLE = 'آهن اسفنجی';
10 تا کالای اول ساختنی که با کد 81405 شروع میشن چی ها هستن؟,INV,"SELECT TOP (1) title
FROM part
WHERE part_usage = ‘ساختنی’
","```
SELECT TOP 10 p.*
FROM PART p
WHERE p.PART_TYPE = 'ساختنی' AND p.CODE LIKE '81405%';
```"
آخرین کالای غیرموجودی تعریف شده تو سیستم چیه؟,INV,"SELECT TOP (1) title
FROM part
WHERE part_usage = ‘غیرموجودی’
ORDER BY id DESC
","```
SELECT TOP 1 p.*
FROM PART p
WHERE p.PART_USAGE LIKE '%غیرموجودی%'
ORDER BY p.ID DESC;
```"
کد آخرین کالای قابل فروش رو میخوام,INV,"SELECT TOP (1) code
FROM part
WHERE part_usage = ‘قابل فروش’
ORDER BY id DESC
","```
SELECT p.CODE
FROM PART p
WHERE p.PART_TYPE = 'قابل فروش'
ORDER BY p.ID DESC
LIMIT 1;
```"
کارکرد کالای 8143000120 چیه؟,INV,"SELECT part_usage
FROM part
WHERE code = ‘8143000120’
","```
SELECT ivi.QUANTITY, u.TITLE AS UNIT_TITLE, p.TITLE AS PART_TITLE
FROM INV_VOUCHER_ITEM ivi
JOIN PART p ON ivi.PART_REF = p.ID
JOIN UNIT u ON ivi.UNIT_REF = u.ID
WHERE p.CODE = '8143000120';
```"
طبقه حساب کالای آهن اسفنجی رو میخوام,INV,"SELECT part_account_category_title
FROM part
WHERE Title Like ‘%آهن اسفنجی%’
","```
SELECT p.ID, p.TITLE, u.TITLE AS UNIT_TITLE
FROM PART p
JOIN UNIT u ON p.MAJOR_UNIT_TITLE = u.TITLE
WHERE p.TITLE LIKE '%آهن اسفنجی%';
```"
