query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","```sql
SELECT STATE 
FROM PLANT 
WHERE TITLE = 'سیرجان';
```"
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'","```sql
SELECT DISTINCT t1.BRANCH_TITLE 
FROM PLANT AS t1, STORE as t2 WHERE 
    t1.ID = t2.PLANT_REF AND
    t1.CODE = 'قزوین';
```"
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
","```sql
SELECT CODE FROM PLANT WHERE TITLE = 'سیرجان';
```"
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
","```sql
SELECT * FROM PLANT WHERE STATE = 'غیر فعال'; 
```"
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’","```sql
SELECT storage_type_title FROM store WHERE id = '001';
```"
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","```sql
SELECT STORAGE_TYPE_TITLE 
FROM STORE 
WHERE TITLE = 'سیرجان';
```"
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","```sql
SELECT STATE 
FROM STORE 
WHERE TITLE = 'سیرجان';
```"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","```sql
SELECT title 
FROM store
WHERE storage_type_title = 'مواد اولیه تولید' AND state = 'فعال';
```"
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","```sql
SELECT
    CODE
FROM STORE
WHERE STORAGE_TYPE_TITLE = 'محصول'
ORDER BY ID DESC LIMIT 1;
```"
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
","```sql
SELECT TITLE 
FROM STORE 
WHERE CODE = 'RAW_01';
```"
