Question,Answer
دستیار دیجیتال نسل ۴ چه نوع رباتی است و چه قابلیت‌هایی دارد؟,دستیار دیجیتال نسل ۴ رباتی مبتنی بر هوش مصنوعی است که قادر به درک پرسش‌ها و نیازهای کاربران درباره نحوه کار با سیستم است و می‌تواند به پرسش‌های مرتبط با ماژول‌های دفتر کل، انبار، گزارش‌ساز، فروش، ارتباط با سامانه مؤدیان مالیاتی، خزانه‌داری و CRM پاسخ دهد.
چگونه می‌توان چت‌بات دستیار دیجیتال را در سیستم باز کرد؟,برای باز کردن چت‌بات دستیار دیجیتال، باید روی دکمه آبی رنگی که در بالا سمت چپ سیستم قرار دارد کلیک کرد.
روش ارسال پرسش به چت‌بات دستیار دیجیتال چگونه است؟,برای ارسال پرسش به چت‌بات، باید پرسش خود را در قسمت پایین چت‌بات نوشته و سپس کلید Enter یا دکمه مثلث آبی‌رنگ را فشار دهید.
چگونه می‌توان نادرستی یا ناقص بودن پاسخ دستیار دیجیتال را اعلام کرد؟,کاربر می‌تواند با فشردن علامت dislike، نادرستی یا ناقص بودن پاسخ ارائه‌شده توسط دستیار دیجیتال را اعلام کند.
در چه مواردی کاربران می‌توانند از دستیار دیجیتال راهنمایی دریافت کنند؟,کاربران می‌توانند برای راهنمایی در خصوص فرایندها، نحوه کار با سیستم، روش ورود اطلاعات در فرم‌ها و هرگونه راهنمایی مرتبط با ماژول‌های دفتر کل و انبار از دستیار دیجیتال استفاده کنند.
قابلیت کپی کردن متن پاسخ ارائه‌شده توسط دستیار دیجیتال چگونه فعال می‌شود؟,برای کپی کردن متن پاسخ دستیار دیجیتال، باید روی آیکون «کپی» کلیک شود تا متن آماده کپی و استفاده شود.
برای بستن و خاتمه دادن گفتگو با چت‌بات دستیار دیجیتال چه اقدامی باید انجام داد؟,برای بستن چت‌بات دستیار دیجیتال باید روی علامت ضربدر در گوشه سمت چپ آن کلیک کرد.
هدف اصلی طراحی دستیار دیجیتال نسل ۴ چیست؟,هدف اصلی طراحی دستیار دیجیتال نسل ۴، کمک به کاربران برای استفاده بهتر و ساده‌تر از سیستم نسل ۴ است.
دستیار دیجیتال در نسخه فعلی از کدام ماژول‌ها پشتیبانی می‌کند؟,دستیار دیجیتال در حال حاضر از ماژول‌های دفتر کل، انبار، گزارش‌ساز، فروش، ارتباط با سامانه مؤدیان مالیاتی، خزانه‌داری و مدیریت ارتباط با مشتریان (CRM) پشتیبانی می‌کند.
وضعیت نسخه فعلی دستیار دیجیتال چگونه است و در آینده چه تغییراتی خواهد کرد؟,نسخه فعلی دستیار دیجیتال آزمایشی است و در آینده امکانات بیشتر و متنوع‌تری به آن اضافه خواهد شد.
