Question,Answer
هدف اصلی از بخش «تنظیمات دریافت و پرداخت» چیست؟,هدف از این بخش، تنظیم ویژگی‌ها و امکانات اصلی سیستم دریافت و پرداخت است.
تنظیمات دریافت و پرداخت چه تأثیری بر عملکرد کلی سیستم دارد؟,هر یک از این تنظیمات در روند انجام تعاریف، عملیات و همچنین گزارش‌گیری‌های سیستم اثرگذار است.
برای دسترسی به صفحه «تنظیمات دریافت و پرداخت» چه مسیری را باید دنبال کرد؟,برای دسترسی به این صفحه باید از مسیر منوی اصلی، به بخش حسابداری مالی، سپس دریافت و پرداخت و در نهایت به تنظیمات مراجعه کرد.
چرا قبل از اعمال تغییرات در تنظیمات دریافت و پرداخت، باید یک شرکت انتخاب شود؟,زیرا این تنظیمات در سطح هر شرکت به صورت مجزا انجام می‌شود و انتخاب شرکت مشخص می‌کند که تغییرات برای کدام واحد اعمال خواهد شد.
فعال کردن گزینه «کنترل مانده در روز» چه تأثیری در زمان ثبت اسناد مالی دارد؟,در صورت فعال بودن این گزینه، سیستم هنگام ثبت اسناد کنترل می‌کند که مانده منبع (مانند حساب بانکی) در طول یک روز منفی نشود.
اگر گزینه «کنترل مانده در روز» فعال نباشد، سیستم چه نوع کنترلی را بر روی مانده منابع اعمال می‌کند؟,در این حالت، کنترل مانده در روز انجام نمی‌شود و سیستم فقط کنترل می‌کند که مانده نهایی منبع هیچگاه منفی نشود.
تفاوت اساسی بین کنترل مانده با انتخاب گزینه «کنترل مانده در روز» و بدون آن چیست؟,تفاوت اصلی در این است که با انتخاب این گزینه، مانده حساب در هر لحظه از روز کنترل می‌شود تا منفی نشود، در حالی که بدون آن، فقط مانده نهایی در پایان روز کنترل می‌شود و امکان منفی شدن موقت طی روز وجود دارد.
برای استقرار حساب‌ها به روش ساده و غیرپارامتریک، چه زمانی باید از این روش استفاده کرد؟,"در صورتی که برای یک نماینده حساب در تمام شرایط، همواره یک حساب معین یکسان وجود داشته باشد، از نوع ""بدون پارامتر"" استفاده شده و همان حساب معین مشخص می‌گردد."
چه زمانی لازم است از روش پارامتریک برای استقرار حساب‌ها استفاده شود؟,"زمانی که یک نماینده حساب بسته به شرایط مختلف ممکن است به حساب‌های معین متفاوتی نگاشت شود، از نوع ""با پارامتر"" استفاده می‌شود."
در روش استقرار پارامتریک، سیستم چگونه حساب معین صحیح را در زمان ثبت سند دریافت و پرداخت تشخیص می‌دهد؟,در زمان ثبت اسناد، سیستم بر اساس پارامترهای تعیین شده در سند دریافت و پرداخت که با قوانین پارامتریک تعریف شده در استقرار حساب‌ها منطبق است، حساب معین صحیح را شناسایی می‌کند.
