query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","SELECT STATE 
FROM INV_VOUCHER 
WHERE COST_CENTER_TITLE = 'سیرجان';"
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'",SELECT INV_VOUCHER.STORE_REF FROM INV_VOUCHER WHERE INV_VOUCHER.COST_CENTER_TITLE = 'مرکز نگهداری قزوین';
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
","SELECT COST_CENTER_TITLE 
FROM INV_VOUCHER 
WHERE COST_CENTER_TITLE = 'سیرجان'"
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
",SELECT COST_CENTER_TITLE FROM INV_VOUCHER WHERE STATE = 'باطل شده' AND (COST_CENTER_TITLE IS NOT NULL) GROUP BY COST_CENTER_TITLE;
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’",SELECT INV_VOUCHER.STORE_REF FROM INV_VOUCHER WHERE INV_VOUCHER.STORE_REF = '001' AND INV_VOUCHER.STATE = 'ثبت شده';
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","SELECT 
    INV_VOUCHER.STORE_REF AS انبار_اصلی,
    INV_VOUCHER_ITEM.INVENTORY_VOUCHER_REF AS اسناد_انبار
FROM 
    INV_VOUCHER 
JOIN 
    INV_VOUCHER_ITEM ON INV_VOUCHER.ID = INV_Voucher_Item.INVENTORY_VOUCHER_REF
WHERE 
    INV_VOUCHER.STORE_REF LIKE '%سیرجان%' OR INV_Voucher_Item.INVENTORY_VOUCHER_REF LIKE '%سیرجان%';"
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","SELECT 
    I.ID, I.STORE_REF, I.PRODUCT_ID, I.QUANTITY, I.DATE 
FROM 
    INV_VOUCHER AS V 
JOIN 
    INV_VOUCHER_ITEM AS I ON V.ID = I.INVENTORY_VOUCHER_REF 
WHERE 
    V.SUPPLIER_TITLE = 'سیرجان' AND I.STORE_REF IS NOT NULL
ORDER BY 
    V.DATE DESC;"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","SELECT 
    CASE WHEN COUNT(*) > 0 THEN 'فعال' ELSE 'غیرفعال' END AS انبار_موارد_اولیه_تولید
FROM 
    INV_VOUCHER IV
WHERE 
    IV.STORE_REF IN (SELECT STORE_ID FROM MATERIAL_STORE WHERE STATUS = 'فعال') AND 
    IV.TITLE LIKE '%ماده اولیه%' OR 
    IV.TITLE LIKE '%مواد تولید%';"
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
",SELECT MAX(ID) FROM INV_VOUCHER;
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
","SELECT INV_VOUCHER.TITLE 
FROM INV_VOUCHER 
JOIN VOUCHER_SPECIFICATION_REF ON INV_VOUCHER.VOUCHER_SPECIFICATION_REF = VOUCHER_SPECIFICATION_REF.ID 
WHERE VOUCHER_SPECIFICATION_REF.SL_TITLE = 'RAW_01'"
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
","SELECT COST_CENTER_TITLE 
FROM INV_VOUCHER 
WHERE STORE_REF = (SELECT ID FROM INV_STORE WHERE CODE = '002') AND STATE = 'ثبت شده'"
انبارهای مرکز نگهداری سیرجان ,INV,"SELECT Title
FROM Store
JOIN Plant ON Store.Plant_id = plant.Id
WHERE plant.title LIKE '%سیرجان%'
",SELECT * FROM INV_VOUCHER WHERE STORE_REF = (SELECT ID FROM STORAGE_LOCATIONS WHERE LOCATION_NAME = 'مرکز نگهداری سیرجان') OR STORE_REF2 = (SELECT ID FROM STORAGE_LOCATIONS WHERE LOCATION_NAME = 'مرکز نگهداری سیرجان');
بعد واحد سنجش Kg چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘kg’
",SELECT UNIT_REF FROM INV_VOUCHER_ITEM WHERE SL_TITLE = 'Kg';
چه واحدهایی برای بعد وزن تو سیستم تعریف شدن؟,INV,"SELECT title
FROM Unit
WHERE Dimension = ‘وزن’
",SELECT UNIT_REF FROM INV_VOUCHER_ITEM;
انواع بعدهای واحد اندازه گیری چی ها هست؟,INV,"SELECT DISTINCT Dimension
FROM unit
",SELECT DISTINCT UNIT_REF FROM INV_VOUCHER_ITEM;
بعد واحد کیلوگرم چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘کیلوگرم’
",SELECT UNIT_REF FROM INV_VOUCHER_ITEM WHERE SL_TITLE = 'کیلوگرم' AND MAJOR_QUANTITY > 0;
کد کالای پنی سیلین 1200 چیه؟,INV,"SELECT Code
FROM part
WHERE title LIKE ‘%پنی سیلین 1200%’
",SELECT UNIT_REF FROM INV_VOUCHER_ITEM WHERE SL_TITLE = 'پنی سیلین 1200' AND QUANTITY > 0;
عنوان کالای 8143000120 چی هست؟,INV,"SELECT Title
FROM part
WHERE code = ‘8143000120’
",SELECT SL_TITLE FROM INV_VOUCHER_ITEM WHERE PART_REF = 8143000120;
