query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","```sql
SELECT STATE 
FROM PLANT 
WHERE CODE = 'SIRJAN';
```"
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'","```sql
SELECT BRANCH_TITLE 
FROM PLANT 
WHERE CODE = 'قزوین';
```"
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
","SELECT CODE FROM PLANT WHERE TITLE = 'سیرجان'; 
"
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
","```sql
SELECT * FROM PLANT WHERE STATE = 'غیر فعال';
```"
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’","SELECT TITLE FROM STORE WHERE CODE = '001'  
"
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","```sql
SELECT STORAGE_TYPE_TITLE
FROM STORE
WHERE TITLE = 'انبار محصول سیرجان';
```"
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","```sql
SELECT 
    S.TITLE
FROM 
    STORE S
WHERE 
    S.CODE = 'SIRJAN'
```"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","```sql
SELECT 
    STATE
FROM 
    STORE
WHERE 
    TITLE = 'مواد اولیه تولید' AND STATE = 'فعال';
```"
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","```sql
SELECT MAX(CODE) FROM STORE WHERE STORAGE_TYPE_TITLE = 'محصول'
```"
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
","SELECT TITLE FROM STORE WHERE CODE = 'RAW_01'  
"
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
","```sql
SELECT P.TITLE
FROM STORE S
JOIN PLANT P ON S.PLANT_REF = P.ID
WHERE S.CODE = '002' AND S.STORAGE_TYPE_TITLE = 'ضایعات تولید';
```"
