query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","به دلیل اینکه در تبله های موجود، جزئیات خاصی درباره وضعیت انبارها وجود ندارد، نمیتوان به طور مستقیم پاسخی برای این سوال ارائه داد. ولی میتوان گزارشی را بر اساس موجودی کالاهای موجود در مرکز نگهداری سیرجان تهیه کرد.

SQL Query:

```sql
SELECT 
    INV_VOUCHER_ITEM.PART_REF, 
    SUM(INV_VOUCHER_ITEM.REMAINED_MAJOR_QUANTITY) AS REMAINED_QUANTITY,
    INV_VOUCHER.STORE_REF
FROM 
    INV_VOUCHER_ITEM 
JOIN 
    INV_VOUCHER ON INV_VOUCHER.ID = INV_VOUCHER_ITEM.INVENTORY_VOUCHER_REF
WHERE 
    INV_VOUCHER.STORE_REF = 'سیرجان' AND INV_VOUCHER.STATE = 'تایید شده'
GROUP BY 
    INV_VOUCHER_ITEM.PART_REF, INV_VOUCHER.STORE_REF;
```

توجه داشته باشید که در این سوال فرض بر این است که ستون STORE_REF یک ID منحصر به فرد برای هر مرکز نگهداری است و 'سیرجان' یک ID معتبر است. اگر 'سیرجان' عنوان یا توضیحاتی درباره مرکز نگهداری باشد، باید کوئری بر اساس آن تنظیم شود.
همچنین فرض بر این است که فقط موجودی هایی که سند مربوط به آنها تایید شده است را در نظر گرفته ایم."
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'","Based on the provided schema, there is no direct way to determine a branch related to a specific cost center like ""Qazvin"". The tables do not contain information about branches or locations other than what might be inferred from titles in certain fields (like COST_CENTER_TITLE). Therefore, it's impossible to construct an SQL query that answers this question with the given schema. Here is how you would attempt to find such information if it were available:

```sql
-- This is a hypothetical query and will not work with the provided schema.
SELECT BRANCH_CODE 
FROM BRANCHES 
WHERE COST_CENTER_TITLE = 'Qazvin';
```

Since no such table or field exists in the schema, this query cannot be executed. The best we can do is to suggest that if there were additional tables defining branches and their relationships to cost centers, a query like the one above might work.

If you meant to ask for information related to ""Qazvin"" within the existing schema, please clarify what specific data or relationship you are interested in, as the question currently does not align with the provided table structures."
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
",SELECT STORE_REF FROM INV_VOUCHER WHERE COST_CENTER_TITLE = 'سیرجان' LIMIT 1;
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
","با توجه به شما داده های موجود در schema، ما قادر به تعیین مرکز نگهداری های غیرفعال در سیستم نیستیم. این اطلاعات باید در یک جدول جداگانه ذخیره شده باشد و یا در ستون های خاصی مانند STATE در جدول INV_VOUCHER وجود داشته باشد که حالت غیرفعال را مشخص می کند. ولی این اطلاعات در schema موجود نیست.

اما اگر فرض کنیم که ستون ""STATE"" در جدول ""INV_VOUCHER"" برای تعیین وضعیت فعال یا غیرفعال استفاده می شود، سپس پرس و جو SQL زیر را می توان به کار برد:

```sql
SELECT * FROM INV_VOUCHER WHERE STATE = 'غیرفعال';
```

لطفاً توجه داشته باشید که این فرض است. در عمل، نام مقادیر ستون ""STATE"" برای حالت غیرفعال ممکن است متفاوت باشد و بستگی به طراحی سیستم خاص شما دارد.
"
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’","SELECT STORE_REF FROM INV_VOUCHER WHERE ID = 001;
OR 
SELECT STORE_REF2 FROM INV_VOUCHER WHERE ID = 001;

Please note that neither of these queries will necessarily return a ""type"" of store, they will only return the reference to another table which may contain more information. The type of store would not be directly available from this schema without additional tables or data.
Also, it's important to mention that ID = 001 might not work depending on how the database is set up to interpret numerical IDs. It could potentially need to be ID = 1 instead."
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","با توجه به شما دستورات ، جدول های موجود و محتوای آنها، امکان پاسخگویی دقیق به سوال شما وجود ندارد. ولی اگر فرض کنیم ""سیرجان"" عنوان یک انبار است، می توانید با استفاده از کوئری زیر بررسی کنید:

```sql
SELECT * FROM INV_VOUCHER WHERE STORE_REF = 'سیرجان' OR STORE_REF2 = 'سیرجان';
```

یا

```sql
SELECT * FROM INV_VOUCHER_ITEM WHERE INVENTORY_VOUCHER_REF IN (SELECT ID FROM INV_VOUCHER WHERE STORE_REF = 'سیرجان' OR STORE_REF2 = 'سیرجان');
```
لطفا توجه داشته باشید که این فرض بر اساس محتوای موجود در جدول ها است و ممکن است نیاز به تنظیمات خاص داشته باشد."
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","به نظر می رسد اطلاعات لازم برای پاسخگویی به این سوال در شما داده نشده است. ولی فرض کنیم که محصول ""سیرجان"" در جدول PARTS ذکر شده و موجودی آن در انبار را می خواهید بدانید، پس می توانیم چنین سوالی را با استفاده از SQL زیر بپرسیم:

```sql
SELECT SUM(INV_VOUCHER_ITEM.QUANTITY) 
FROM INV_VOUCHER_ITEM 
JOIN PARTS ON INV_VOUCHER_ITEM.PART_REF = PARTS.ID 
WHERE PARTS.TITLE = 'سیرجان';
```

لطفا توجه داشته باشید که این فرض بر اساس اطلاعات موجود در ساختار دیتابیس شما است. اگر جدول یا مدل داده های شما متفاوت باشد، نیاز به تنظیم مجدد این پرس و جو خواهد بود.
به علاوه، برخی از سوابق انبار ممکن است منفی باشند (برای مثال، در صورت بازگشت کالا)، بنابراین ممکن است نیاز به یک تابع ABS داشته باشید."
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","The provided schema does not include any table or column that indicates whether a raw materials warehouse is currently active. Therefore, an SQL query cannot be created to answer this question based on the given information."
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","SELECT MAX(ID) FROM INV_VOUCHER_ITEM WHERE PART_REF = (SELECT ID FROM PRODUCTS WHERE TYPE = 'YOUR_PRODUCT_TYPE') AND STORE_REF = (SELECT ID FROM WAREHOUSES WHERE NAME = 'YOUR_WAREHOUSE_NAME');
Note: You need to replace 'YOUR_PRODUCT_TYPE' and 'YOUR_WAREHOUSE_NAME' with the actual product type and warehouse name. This query assumes that there is a PRODUCTS table which has an ID and TYPE field, and a WAREHOUSES table which has an ID and NAME field, none of which are provided in your schema. Since this information isn't available in the given schema, it's not possible to accurately answer the question with the data you've provided."
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
","به نظر می رسد اطلاعات لازم برای پاسخگویی به سوال شما در دستورالعمل های موجود وجود ندارد. برای چنین سؤالی، باید یک جدول یا فیلد وجود داشته باشد که اطلاعات مربوط به انبارها را ذخیره کند. ولی در توضیحات موجود، هیچ جدول یا فیلدی برای ذخیره این اطلاعات مشخص نشده است.

اما اگر فرض کنیم که این اطلاعات در جدولی با نام `INV_STORE` وجود دارد، سپس می توانیم چنین پرس و جوی SQL را برای پیدا کردن عنوان انبار RAW_01 اجرا کنیم:

```sql
SELECT TITLE FROM INV_STORE WHERE CODE = 'RAW_01';
```

لطفاً توجه داشته باشید که در بالا فرض کردیم یک جدول `INV_STORE` وجود دارد و عنوان انبارها در فیلد `TITLE` ذخیره شده است. همچنین فرض کردیم کد انبار RAW_01 را می توان با استفاده از یک فیلد به نام `CODE` پیدا کرد.

اما در صورت وجود جدول و فیلدهای دیگر، بسته به ساختار آنها، کوئری SQL ممکن است تغییر کند."
