Question,Answer
طبق مصوبه مرکز تنظیم مقررات، چه شرکت‌هایی و از چه تاریخی ملزم به صدور و ارسال صورتحساب الکترونیکی به سامانه مودیان شدند؟,کلیه شرکت‌های پذیرفته شده در بورس و فرابورس از تاریخ 01/08/1401 ملزم به صدور و ارسال صورتحساب الکترونیکی به سامانه مودیان مالیاتی شدند.
سامانه مودیان مالیاتی چیست و تبادل اطلاعات در آن چگونه صورت می‌گیرد؟,سامانه‌ای است تحت مدیریت سازمان امور مالیاتی که در آن به هر مودی، کارپوشه ویژه‌ای اختصاص یافته و تبادل اطلاعات بین مودیان و سازمان منحصراً از طریق آن کارپوشه انجام می‌شود.
نشانی وب‌سایت برای ورود به کارپوشه مودیان چیست؟,نشانی برای ورود به کارپوشه مودی https://tp.tax.gov.ir است.
"""معتمد"" در نظام پایانه‌های فروشگاهی چه نقشی ایفا می‌کند؟","""معتمد"" شرکتی است که مجوز ارائه خدمات در حوزه‌هایی چون نصب، راه‌اندازی، پیکربندی، پشتیبانی، تأمین تجهیزات و همچنین صدور، نگهداری، جمع‌آوری و ارسال اطلاعات صورتحساب‌های مودیان به سامانه مودیان مالیاتی را دریافت کرده است."
شناسه یکتای حافظه مالیاتی چیست و چگونه تولید می‌شود؟,شناسه‌ای است یکتا، با مقداری ثابت و منحصر به فرد که به هر حافظه مالیاتی در سطح کشور اختصاص داده می‌شود. این شناسه توسط سامانه مودیان مالیاتی پس از درخواست مودی در کارپوشه تولید و در اختیار وی قرار می‌گیرد.
مودیان چه گزینه‌هایی برای ارسال صورتحساب‌های خود به سامانه مودیان دارند؟,مودیان می‌توانند مستقیماً صورتحساب‌های خود را به سامانه مودیان مالیاتی ارسال کنند یا یکی از شرکت‌های معتمد را انتخاب کرده و از طریق آن اقدام به ارسال صورتحساب نمایند.
حافظه مالیاتی چه کاربردی دارد و مشخصه اصلی آن چیست؟,حافظه مالیاتی توسط مودی برای ثبت صورتحساب الکترونیکی مورد استفاده قرار می‌گیرد و هر حافظه مالیاتی دارای یک شناسه یکتا است که توسط سازمان امور مالیاتی تخصیص می‌یابد.
شماره منحصر به فرد مالیاتی چگونه تعریف می‌شود؟,شماره‌ای است یکتا در سامانه مودیان که به ازای هر صورتحساب تولید شده و به صورت منحصر به فرد به آن صورتحساب تخصیص داده می‌شود.
مودیان برای درج شناسه کالا/خدمت در صورتحساب الکترونیکی باید به کدام سامانه‌ها مراجعه کنند؟,"مودیان می‌توانند این شناسه‌ها را از نشانی‌های https://tax.gov.ir یا https://stuffid.tax.gov.ir در بخش ""سایر خدمات الکترونیکی"" دریافت کنند."
چه رابطه‌ای بین شناسه یکتای حافظه مالیاتی و شماره مالیاتی وجود دارد؟,شناسه یکتای حافظه مالیاتی یکی از مولفه‌های تشکیل‌دهنده شماره مالیاتی است که به هر صورتحساب اختصاص می‌یابد.
"بر اساس متن، هدف اصلی از ایجاد ""کارپوشه ویژه"" برای هر مودی چیست؟",هدف اصلی، ایجاد یک کانال انحصاری برای تبادل اطلاعات بین مودیان و سازمان امور مالیاتی است تا تمام تعاملات از طریق آن انجام شود.
طبق دستورالعمل سازمان امور مالیاتی، ارسال صورتحساب‌ها به سامانه باید با چه فرکانسی انجام شود؟,صورتحساب‌ها باید بصورت روزانه به سامانه ارسال گردد.
"در فرم تعریف روش ارسال صورتحساب، منظور از ""شناسه حافظه مالیاتی"" چیست؟",این شناسه، یک کد ۶ رقمی است که پس از ایجاد حافظه مالیاتی در کارپوشه مودیان به او تخصیص داده می‌شود و باید در این قسمت وارد گردد.
"در فرآیند تعریف روش ارسال، پس از انتخاب شرکت، فیلدهای ""نام فروشنده"" و ""شناسه ملی"" چگونه تکمیل می‌شوند؟","با انتخاب شرکت، فیلد ""نام فروشنده"" با نام شرکت انتخاب شده و فیلد ""شناسه ملی"" با شناسه ملی که قبلاً برای آن شرکت تعریف شده است، به صورت خودکار پر می‌شود."
"در حال حاضر، کدام ""نوع اتصال"" برای ارسال صورتحساب به سامانه مودیان مالیاتی نسل ۴ در دسترس است؟","در حال حاضر فقط نوع اتصال ""مستقیم"" برای ارسال صورتحساب وجود دارد و ارسال از طریق معتمد امکان‌پذیر نیست."
"هدف از تعریف ""عنوان روش ارسال صورتحساب"" چیست و چه ویژگی مهمی باید داشته باشد؟",هدف، اختصاص یک نام به روش ارسالی است. این نام باید یکتا باشد تا در فهرست روش‌ها، بتوان به راحتی آن را شناسایی و از سایر روش‌ها تمیز داد.
اگر کلید خصوصی مودی از نوع نرم‌افزاری باشد، فرآیند بارگذاری آن در سیستم چگونه است؟,در صورتی که کلید نرم‌افزاری باشد، اطلاعات استخراج شده از فایل کلید باید در فیلد مربوطه کپی و بارگذاری شود.
چگونه می‌توان برای شعبه‌های مختلف یک شرکت، روش‌های ارسال صورتحساب متفاوتی را اعمال کرد؟,"در بخش ""شعبه"" از فرم تعریف روش، می‌توان شعبه یا شعبه‌هایی را که قرار است از آن روش خاص استفاده کنند، انتخاب نمود. به این ترتیب، امکان تعریف روش‌های متفاوت برای شعب مختلف فراهم می‌شود."
"فیلدهای ""از تاریخ"" و ""تا تاریخ"" در بخش تخصیص روش ارسال به شعبه، چه کاربردی دارند و آیا تکمیل آنها اجباری است؟",این فیلدها برای تعیین دوره زمانی اعتبار یک روش ارسال برای شعبه مشخص به کار می‌روند و پر کردن آنها الزامی نیست.
مهم‌ترین محدودیت در خصوص تخصیص روش ارسال صورتحساب به یک شعبه در یک بازه زمانی چیست؟,هر شعبه در یک بازه تاریخی معین، فقط می‌تواند یک روش ارسال صورتحساب فعال داشته باشد.
از اینکه در ابتدای فرآیند باید شرکت انتخاب شود، چه استنباطی در مورد معماری سیستم می‌توان داشت؟,این امر نشان می‌دهد که سیستم برای پشتیبانی از ساختارهای چند شرکتی (مانند هلدینگ‌ها) طراحی شده و قادر به مدیریت اطلاعات و فرآیندهای مجزا برای هر شرکت است.
در بخش تنظیمات سامانه مودیان، چه اطلاعاتی در مورد فروشنده باید وارد شود؟,"اطلاعات فروشنده شامل ""نام فروشنده""، ""نوع فروشنده"" و ""شناسه ملی"" باید وارد شود."
"گزینه‌های موجود برای فیلد ""نوع فروشنده"" در تنظیمات سامانه مودیان کدامند؟","گزینه‌های قابل انتخاب برای ""نوع فروشنده"" عبارتند از: ""شخص""، ""شرکت""، و ""مشارکت مدنی""."
اگر خریداری که شخص حقیقی و مشمول ثبت نام در نظام مالیاتی است، کد اقتصادی نداشته باشد، چه اطلاعات جایگزینی می‌توان به سامانه مودیان ارسال کرد؟,در صورت در دسترس نبودن کد اقتصادی خریدار، می‌توان کدملی و کد پستی او را به سامانه مودیان ارسال کرد.
"در چه شرایطی یک صورتحساب به عنوان ""صورتحساب الکترونیکی نوع سوم"" و بدون اطلاعات خریدار به سامانه ارسال می‌شود؟","زمانی که خریدار به عنوان ""مصرف کننده نهایی"" تعریف شده باشد، صورتحساب در قالب نوع سوم ارسال شده و اطلاعات خریدار به سامانه ارسال نمی‌گردد."
"آیا اشخاص حقوقی می‌توانند به عنوان ""مصرف کننده نهایی"" در نظر گرفته شوند؟",خیر، یک شخص حقوقی نمی‌تواند مصرف کننده باشد.
مودیان برای دریافت شناسه مالیاتی کالا یا خدمت باید به چه منابعی مراجعه کنند؟,"مودیان می‌توانند این شناسه‌ها را از وب‌سایت‌های tax.gov.ir یا stuffid.tax.gov.ir در بخش ""سامانه عملیات الکترونیکی مالیاتی"" دریافت نمایند."
برای ثبت شناسه مالیاتی یک کالا یا خدمت در سیستم، چه مسیری باید طی شود؟,"برای وارد کردن شناسه مالیاتی، باید از مسیر ""فروش داخلی- اطلاعات پایه- مدیریت اقلام قابل فروش- کالاها/خدمات"" اقدام کرده و شناسه دریافت شده را در فیلد ""شناسه مالیاتی"" برای هر قلم کالا یا خدمت وارد نمود."
عامل تعیین‌کننده برای ارسال صورتحساب در قالب نوع اول یا نوع سوم برای یک مشتری چیست؟,"انتخاب ""نوع طرف معامله مالیاتی"" در اطلاعات تکمیلی مشتری تعیین‌کننده است. اگر مشتری مشمول ثبت نام در نظام مالیاتی باشد صورتحساب نوع اول، و اگر مصرف کننده نهایی باشد صورتحساب نوع سوم ارسال می‌شود."
