query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’",SELECT STATE FROM PLANT WHERE TITLE = 'سیرجان';
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'",SELECT BRANCH_TITLE FROM PLANT WHERE CODE = 'قزوین';
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
",SELECT CODE FROM PLANT WHERE TITLE = 'سیرجان';
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
",SELECT * FROM PLANT WHERE STATE = 'غیر فعال';
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’",SELECT STORAGE_TYPE_TITLE FROM STORE WHERE CODE = '001';
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’",SELECT * FROM STORE WHERE TITLE = 'سیرجان' AND STATE = 'فعال';
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
",SELECT STATE FROM STORE WHERE TITLE = 'سیرجان';
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
",SELECT * FROM STORE s INNER JOIN PART p ON s.ID = STORE_REF WHERE s.STATE = 'فعال' AND p.PART_TYPE = 'ماده اولیه';
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
",SELECT CODE FROM PART WHERE PART_TYPE = 'محصول نهایی' ORDER BY ID DESC LIMIT 1;
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
",SELECT TITLE FROM STORE WHERE CODE = 'RAW_01';
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
","SELECT PLANT.TITLE AS مرکز_نگهداری
FROM STORE 
JOIN PLANT ON STORE.PLANT_REF = PLANT.ID
WHERE STORE.CODE = '002' AND STORE.STORAGE_TYPE_TITLE = 'ضایعات تولید';"
انبارهای مرکز نگهداری سیرجان ,INV,"SELECT Title
FROM Store
JOIN Plant ON Store.Plant_id = plant.Id
WHERE plant.title LIKE '%سیرجان%'
",SELECT * FROM STORE s JOIN PLANT p ON s.PLANT_REF = p.ID WHERE p.TITLE = 'سیرجان';
بعد واحد سنجش Kg چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘kg’
",SELECT * FROM UNIT WHERE TITLE = 'Kg'
چه واحدهایی برای بعد وزن تو سیستم تعریف شدن؟,INV,"SELECT title
FROM Unit
WHERE Dimension = ‘وزن’
",SELECT TITLE FROM UNIT WHERE DIMENSION = 'وزن';
انواع بعدهای واحد اندازه گیری چی ها هست؟,INV,"SELECT DISTINCT Dimension
FROM unit
",SELECT DISTINCT DIMENSION FROM UNIT;
بعد واحد کیلوگرم چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘کیلوگرم’
",SELECT TITLE FROM UNIT WHERE DIMENSION = 'وزن' AND ID > (SELECT ID FROM UNIT WHERE TITLE = 'کیلوگرم');
کد کالای پنی سیلین 1200 چیه؟,INV,"SELECT Code
FROM part
WHERE title LIKE ‘%پنی سیلین 1200%’
",SELECT CODE FROM PART WHERE TITLE = 'پنی سیلین ۱۲۰۰';
