query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’",SELECT p.STATE FROM PLANT p WHERE LOWER(p.TITLE) = 'سیرجان'
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'",SELECT p.TITLE FROM PLANT p WHERE LOWER(p.CODE) = 'qz'
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
",SELECT p.CODE FROM PLANT p WHERE LOWER(p.TITLE) = 'سیرجان'
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
",SELECT p.title FROM plant p WHERE LOWER(p.state) = 'غیر فعال'
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’",SELECT s.TITLE FROM STORE s WHERE s.CODE = '001';
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’",SELECT s.STORAGE_TYPE_TITLE FROM STORE s WHERE s.TITLE = 'سیرجان'
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","SELECT s.title AS store_title, s.state AS store_state FROM store s WHERE s.id = (SELECT iv.store_ref FROM inv_voucher iv WHERE LOWER(iv.title) LIKE '%سیرجان%');"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
",SELECT s.title FROM store s WHERE LOWER(s.state) = 'فعال' AND s.plant_ref IN (SELECT p.id FROM plant p);
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","SELECT s.CODE, s.TITLE FROM STORE s JOIN PART p ON s.ID = p.STORE_REF WHERE LOWER(p.PART_TYPE) = 'آخرین کد' ORDER BY s.CODE DESC LIMIT 1;"
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
",SELECT s.TITLE FROM STORE s WHERE s.CODE = 'RAW_01';
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
",SELECT p.title FROM store s JOIN plant p ON s.plant_ref = p.id WHERE s.code = '002' AND LOWER(s.storage_type_title) = 'ضایعات تولید';
انبارهای مرکز نگهداری سیرجان ,INV,"SELECT Title
FROM Store
JOIN Plant ON Store.Plant_id = plant.Id
WHERE plant.title LIKE '%سیرجان%'
",SELECT s.title FROM store s JOIN plant p ON s.plant_ref = p.id WHERE LOWER(p.branch_title) = 'سیرجان'
بعد واحد سنجش Kg چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘kg’
",SELECT u.title FROM unit u WHERE LOWER(u.dimension) = 'weight'
چه واحدهایی برای بعد وزن تو سیستم تعریف شدن؟,INV,"SELECT title
FROM Unit
WHERE Dimension = ‘وزن’
",SELECT u.title FROM unit u WHERE LOWER(u.dimension) = 'وزن';
انواع بعدهای واحد اندازه گیری چی ها هست؟,INV,"SELECT DISTINCT Dimension
FROM unit
",SELECT DISTINCT UNIT.DIMENSION FROM UNIT ORDER BY UNIT.DIMENSION NULLS LAST;
بعد واحد کیلوگرم چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘کیلوگرم’
",SELECT u.title FROM unit u WHERE LOWER(u.dimension) = 'weight'
کد کالای پنی سیلین 1200 چیه؟,INV,"SELECT Code
FROM part
WHERE title LIKE ‘%پنی سیلین 1200%’
",SELECT p.CODE FROM PART p WHERE LOWER(p.TITLE) = 'penicillin 1200'
عنوان کالای 8143000120 چی هست؟,INV,"SELECT Title
FROM part
WHERE code = ‘8143000120’
",SELECT p.title FROM part p WHERE p.code = '8143000120';
واحد سنجش اصلی کالای پنی سیلین 1200,INV,"SELECT major_unit_title
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
",SELECT u.title AS unit_title FROM unit u WHERE LOWER(u.dimension) = 'weight' AND CAST(u.title AS FLOAT) = 1200.0
