GL,"با وجود تعریف دوره مالی بعد، قابل مشاهده و انتخاب هنگام تغییر دوره مالی در سیستم نیست، کدام گزینه صحیح می باشد؟",تنظیمات بخش مدیریت مالی به درستی انجام نشده است,تخصیص دوره مالی به دفتر کل انجام نشده است.,تنظیمات در بخش حقوق دسترسی سیستم صحیح نیست.,هیچکدام,B
GL,در صورتی که  حساب کل موجودی نقد و بانک دارای کد 1101 باشد کدام گزینه نادرست است؟,بانکهای ریالی- 110101,صندوق ارزی- 110102,بانکهای ارزی- 110201,صندوق ریالی-110101,C
GL,کدامیک از سطوح را سطح عملیاتی سیستم می نامیم؟,معین,کل,تفصیل,گروه,A
GL,در صورتی که بخواهیم هنگام تعریف حساب تفصیلی سیستم اتوماتیک به آن کد بدهد چه تنظیماتی را در سیستم باید انجام دهیم؟,انجام تنظیمات در بخش مدیریت مالی,استفاده از گزینه کد اتوماتیک در هنگام ایجاد تفصیلی,تعریف کد پیش فرض در هنگام تعریف نوع تفصیل,هیچکدام,C
GL,کدامیک از گزینه های زیر در رابطه با اینکه بتوانیم چند تفصیل را در یک گروه قرار دهیم و در گزارشات از آنها استفاده کنیم صحیح می باشد؟,ساختار حسابها,گروهبندی حسابها,گروهبندی حساب معین,گروهبندی حساب تفصیلی,D
GL,کدامیک از گزینه های زیر برای کپی فیلد بالا در سطر پایین صدور سند استفاده می شود؟,کلید میان بر Ctrl+Shift+R,کلید میان بر Ctrl+Shift+l,کلید میان بر Ctrl+Shift+Y,کلید میان بر Ctrl+Shift+T,C
GL,کدامیک از شماره های اسناد برای مستند کردن اسناد مثبته مناسبتر است؟,شماره سند,شماره پیگیری,شماره روزانه,شماره عطف,D
GL,در رابطه با امکان شعب کدام گزینه  صحیح می باشد؟,برای شعب غیر مستقل قابل استفاده می باشد.,در امکان شعب برای هر شعبه امکان ثبت دفاتر قانونی جداگانه وجود دارد.,برای شعب مستقل قابل استفاده می باشد.,برای شعب مستقل و غیر مستقل قابل استفاده می باشد.,A
GL,"در صورتیکه تعدادی سند حسابداری از سیستم حذف شده باشد و مجدد شماره گذاری انجام گیرد، چگونه می توان اسناد حذف شده را ردیابی کرد؟",امکان رد یابی وجود ندارد.,از طریق بررسی تفاوت شماره عطف و شماره سند و گزارش اسناد حذف شده,با استفاده از تنظیمات سیستم,هیچکدام,B
GL,در صورتی که بخواهیم در ثبت سند ارزی مطالبات دلاری را با یورو تسویه کنیم به ترتیب در ستون ارز و ارز مبنا چه مقادیری باید ثیت شود؟,یورو_دلار,دلار_دلار,ریال_یورو,یورو_یورو,A
GL,در صورتی که بخواهیم مانده ارزهای مختلف داخل یک سند را مشاهده کنیم از کدام گزینه استفاده می کنیم؟,گردش,تراز ارزی سند,تراز ارزی,گردش ارزی,C
GL,"یک معامله فروش با ارز دلار انجام شده است، زمان دریافت وجه از مشتری ارز یورو دریافت می شود، کدام گزینه صحیح نمی باشد؟","گزینه ""نرخ تبدیل ارز، ارز مبنا و مبلغ به ارز مبنا در سیستم نمایش داده شود"" در مدیریت مالی، ارز فعال شود.",نرخ تبدیل ارز یورو به دلار در سیستم تعریف شود.,"زمان ثبت سند، لازم نمایش فیلد های ارزی فعال شود.","چون معامله به صورت دلاری انجام شده است، امکان ثبت سند حسابداری با ارز یورو وجود ندارد.",D
GL,در رابطه با بررسی سند کدام گزینه صحیح می باشد؟,کلیه اطلاعات قابل ویرایش می باشد.,اسناد تحت هیچ شرایطی قابل تغییر نیست.,در این حالت فقط مبلغ بدهکار و بستانکار سند قابل اصلاح می باشد.,هیچکدام,D
GL,"با استفاده از گزارش خلاف ماهیت طی دوره مشخص شده که مانده بانک در اثر گردش یک روز خلاف ماهیت شده است، چگونه می توان این مشکل را حل کرد؟","سند که سبب خلاف ماهیت شده است، حذف و مجدد صادر گردد.",با استفاده از امکان جابجایی اسناد شماره روزانه سند اصلاح گردد.,"از آنجاییکه مانده نهایی حساب بانک بدهکار است، مشکلی وجود ندارد.","با استفاده از شماره گذاری اسناد، مشکل حل می شود.",B
