GL,حداکثر طول کد حساب ها چند رقم است؟,4,8,12,16,C
GL,کدام یک از موارد زیر در مورد کد حساب ها صحیح است؟,"در صورت انتخاب “استفاده از کاراکتر در کد حساب ها"" ، کد همه حساب ها می تواند ترکیبی از عدد، حروف و کاراکتر باشد",کد هر سطح حساب باید در ساختار حساب یکتا باشد, ترکیب کد معین و کد کل و کد گروه در سطح ساختار حساب یکتا است,همه موارد,D
GL,ویژگی ارزی به چه معناست و در چه حسابی می توان از آن استفاده کرد؟,این ویژگی به حساب هایی اختصاص می یابد که با ارزهای مختلف سروکار دارند و می توان از آن در حساب های معین استفاده کرد.,این ویژگی به حساب هایی اختصاص می یابد که با ارزهای مختلف سروکار دارند و می توان از آن در حساب های کل و معین استفاده کرد.,این ویژگی به حساب هایی اختصاص می یابد که با یک ارز خاص سروکار دارند و می توان از آن در حساب های معین استفاده کرد.,این ویژگی به حساب هایی اختصاص می یابد که با یک ارز خاص سروکار دارند و می توان از آن در حساب های کل و معین استفاده کرد.,A
GL,کنترل ماهیت حساب در سطح کدام یک از موارد زیر انجام می شود؟,فقط در سطح کل,در سطح معین و یا معین و تفصیل انتخابی,"در سطح گروه حساب، حساب کل و معین",در سطح گروه و تفصیل انتخابی,B
GL,در چه زمانی می توان یک حساب معین را حذف کرد؟,در هر زمانی,قبل از استفاده از آن در اسناد حسابداری,قبل از استفاده از آن در اسناد پایان سال,امکان حذف حساب معین وجود ندارد,B
GL,"کدامیک از موارد زیر در مورد ""ویژگی پیگیری"" در حساب معین صحیح است؟",فعال کردن این ویژگی همیشه امکان پذیر است.,غیر فعال کردن این ویژگی بعد از استفاده از حساب معین امکان پذیر است.,"نمی توان این ویژگی را برای حساب معین ""اختیاری"" کرد.","غیر فعال کردن ""اختیاری بودن"" این ویژگی امکان پذیر نیست.",A
GL,ساختار حساب ها چند سطح دارد؟,1,2,3,4,C
GL,نوع حساب معین چه زمانی قابل تغییر است؟,همواره,هیچ وقت,قبل از استفاده از آن در اسناد حسابداری,قبل از استفاده از آن در اسناد پایان سال و تسعیر,D
GL,کدامیک از موارد زیر در مورد شماره سند صحیح است؟,توسط کاربر به صورت دستی وارد می شود.,به ترتیب تاریخ و شماره روزانه توسط سیستم به صورت خودکار تکمیل می شود. ,قابل ویرایش است. ,برای هر سال مالی یکسان است.,B
GL,شماره عطف در سند حسابداری چه کاربردی دارد؟,برای ردیابی یک سند استفاده می شود.,ترتیب ایجاد اسناد در هر روز را نشان می دهد.,برای ترکیب کمپانی + دفتر + سال مالی + شعبه یکتا است.,هر دو گزینه الف و ج,D
GL,در کدامیک از موارد زیر امکان صدور سند با مقدار فیلد نوع سند افتتاحیه به صورت دستی وجود دارد؟,همیشه,فقط در اولین سال مالی,فقط در دفاتر فرعی,فقط در اسناد صادر شده از سایر ماژول ها,B
GL,"کدامیک از موارد زیر در مورد وضعیت ""بررسی شده"" در سند حسابداری صحیح است؟",قابل ویرایش است,در گزارشات نمایش داده نمیشود,به صورت دستی انتخاب میشود,قابل حذف نیست,D
GL,در چه سالی امکان لغو قطعی شدن سند حسابداری وجود دارد؟,امکان لغو قطعی شدن وجود ندارد,در سال مالی که سند در آن صادر شده باشد,در اولین سال مالی,در همه سال ها,A
GL,"کدامیک از گزینه های زیر در مورد اسناد ""یادداشت شده"" در سند حسابداری صحیح است؟",در گزارشات نمایش داده نمی شوند,قابل ویرایش هستند,در پایان سال مالی به صورت خودکار قطعی میشوند,گزینه الف و ب,D
GL,"در سند حسابداری، جمع مبلغ بدهکار و بستانکار سند باید چه وضعیتی داشته باشد تا امکان ذخیره موقت سند وجود داشته باشد؟",باید برابر باشند,باید مساوی صفر باشد,سمت بدهکار بزرگتر باشد,سمت بستانکار بزرگتر باشد,A
GL,در صورت انتخاب گزینه چاپ برای یک سند حسابداری چه اتفاقی می افتد؟,سند از موقت به قطعی تبدیل میشود,امکان ویرایش سند از بین میرود,سند با الگوی چاپ پیش فرض نمایش داده میشود,سند در گزارشات نمایش داده میشود,C
GL,تفصیل های مرتبط با یک معین در کجای سند حسابداری نمایش داده می شوند؟,در بخش اطلاعات سند,در بخش اقلام سند,در بخش شرح هدر سند,در بخش شماره گذاری سند,B
GL,"کلید ""موازنه مبلغ"" در بخش اقلام سند چه کاری انجام می دهد؟",مبلغ بدهکار یا بستانکار را جا به جا می کند,قلم یا اقلام انتخابی را کپی می کند,قلم یا اقلام انتخابی را حذف می کند,به طور خودکار مبلغ را برای موازنه کردن سند محاسبه می کند,D
GL,در چه صورتی شماره گذاری اسناد در سطح شعبه انجام می شود؟,همواره,در صورت انتخاب شعبه پیش فرض,در صورت انجام تنظیمات شماره گذاری در سطح شعبه در تنظیمات دفتر کل,در صورت صدور سند از ماژول های دیگر,C
